Time:1x17:512,End Time,Electrode:0.000000,Electrode:16.000000,Electrode:32.000000,Electrode:48.000000,Electrode:64.000000,Electrode:80.000000,Electrode:96.000000,Electrode:112.000000,Electrode:128.000000,Electrode:144.000000,Electrode:160.000000,Electrode:176.000000,Electrode:192.000000,Electrode:208.000000,Electrode:224.000000,Electrode:240.000000,Electrode:256.000000,Event Id,Event Date,Event Duration
1.5000000000,1.5625000000,1659.0000000000,1100.9969052991,759.1744814361,176.7511513106,212.4405764884,258.0311952420,44.4052641336,802.3323642640,781.7224571419,351.6355803386,197.6221079502,248.1703291948,130.6636960340,117.8148168061,122.6204783173,83.0126487773,73.0000000000,,,
1.5625000000,1.6250000000,2462.0000000000,638.7461014440,381.9226270462,492.8388358792,554.3209646410,586.3172614164,187.8701042974,1219.0484168105,592.1520075116,167.1351107923,75.3112657681,53.8453454188,94.4048100444,63.5338737568,47.8345493325,76.8134531111,36.0000000000,,,
1.6250000000,1.6875000000,627.0000000000,353.7648339422,498.3169817792,973.0204786704,688.2620044037,932.9590632546,338.9166128250,1122.4508165938,546.1300211488,69.9597346273,85.0073066720,60.2682173832,40.6375847484,30.7761015097,16.4156338305,29.3146729974,1.0000000000,,,
1.6875000000,1.7500000000,1480.0000000000,1594.9245730039,175.0361313791,996.2680828190,340.2803045223,442.0826775473,237.6743307141,725.0176556515,842.0023752936,269.5383270431,241.5827313279,166.1164871544,102.4954357726,65.9127963934,73.4237642432,87.2910362684,56.0000000000,,,
1.7500000000,1.8125000000,3452.0000000000,2445.0066672400,261.8751393433,451.0794643990,998.0513421164,264.3068228512,234.9779210153,714.6681846310,994.9412042930,410.6254167689,374.2827568509,262.5576324530,253.1353758361,230.3253886317,246.6884795716,228.4501593686,154.0000000000,,,
1.8125000000,1.8750000000,9280.0000000000,2039.9868769708,432.5053676874,1053.4490144886,510.9469286559,542.3919464244,539.3480982052,743.5397725242,649.3596846125,130.4026742967,94.2496548190,103.9119572189,73.5203107794,51.1687350790,53.2891963770,41.6354058696,34.0000000000,,,
1.8750000000,1.9375000000,7434.0000000000,1646.2097839654,198.5537060467,382.8874978399,724.6050084538,408.3471668044,350.6567869741,911.4694837583,881.0107831349,233.1989303593,91.3181525873,115.1273893222,70.3958928043,45.3700562388,42.1098393746,26.7578739571,24.0000000000,,,
1.9375000000,2.0000000000,3630.0000000000,2141.6284030271,687.8617523794,1249.9628163605,744.2520733840,95.1037611221,541.4481206789,551.4225879245,946.7692432689,493.1415349247,395.3616222089,335.4541103484,231.2765687734,238.5573520386,226.1179557470,216.8905285658,160.0000000000,,,
2.0000000000,2.0625000000,5025.0000000000,850.6217433100,156.3991806646,1131.0951768468,440.4662194787,314.4969273089,814.4113523213,1011.6287157132,741.0816419262,353.5201261921,136.9308064642,164.0352838199,107.8587478983,101.1748707397,102.9728106769,91.6786046469,69.0000000000,,,
2.0625000000,2.1250000000,6300.0000000000,642.1029904716,742.5456539688,682.5937662697,653.0394672277,212.5228254235,177.8578463398,941.3696458414,752.1914649875,124.9676230732,113.0557172156,5.2881535518,65.7529789663,48.4756372082,27.4762274026,34.1757172910,4.0000000000,,,
