Time:250Hz,Epoch,Electrode,Event Id,Event Date,Event Duration
1.492,46,31.34970321,,,
1.496,46,77.61786126,,,
1.5,46,96.53713779,,,
1.504,47,65.63693102,,,
1.508,47,56.30385478,,,
1.512,47,49.36501116,,,
1.516,47,24.57435988,,,
1.52,47,53.26396947,,,
1.524,47,80.51050855,,,
1.528,47,24.27939443,,,
1.532,47,9.406890985,,,
1.536,48,44.01580764,,,
1.54,48,42.9002976,,,
1.544,48,54.54563524,,,
1.548,48,57.84106419,,,
1.552,48,13.41335784,,,
1.556,48,-19.69719193,,,
1.56,48,-2.971553733,,,
1.564,48,16.38347091,,,
1.568,49,24.78542699,,,
1.572,49,42.62708659,,,
1.576,49,32.05257638,,,
1.58,49,3.283462518,,,
1.584,49,15.72375343,,,
1.588,49,45.87871847,,,
1.592,49,69.42232845,,,
1.596,49,76.35524704,,,
1.6,50,59.87170584,,,
1.604,50,27.05859933,,,
1.608,50,-5.554270141,,,
1.612,50,-2.636956259,,,
1.616,50,2.6317939,,,
1.62,50,-2.10901986,,,
1.624,50,12.08842318,,,
1.628,50,32.11804948,,,
1.632,51,28.24431512,,,
1.636,51,19.01809153,,,
1.64,51,28.02776026,,,
1.644,51,18.21949127,,,
1.648,51,17.28137649,,,
1.652,51,34.64514348,,,
1.656,51,26.5469606,,,
1.66,51,10.67886469,,,
1.664,52,12.24455556,,,
1.668,52,58.10656053,,,
1.672,52,87.52389238,,,
1.676,52,75.52514448,,,
1.68,52,80.28838926,,,
1.684,52,71.4854949,,,
1.688,52,55.25951702,,,
1.692,52,66.34102487,,,
1.696,53,83.81147991,,,
1.7,53,67.84602844,,,
1.704,53,53.42818716,,,
1.708,53,65.33130241,,,
1.712,53,61.63166267,,,
1.716,53,60.15726599,,,
1.72,53,45.58417958,,,
1.724,53,12.19811712,,,
1.728,54,8.927199921,,,
1.732,54,17.17515226,,,
1.736,54,29.64670644,,,
1.74,54,59.17097629,,,
1.744,54,50.04985852,,,
1.748,54,20.43326756,,,
1.752,54,34.71251563,,,
1.756,54,35.93414173,,,
1.76,55,23.23876327,,,
1.764,55,28.33232859,,,
1.768,55,-0.098749211,,,
1.772,55,-28.76774049,,,
1.776,55,-22.72468719,,,
1.78,55,6.591323003,,,
1.784,55,31.92645802,,,
1.788,55,27.98232152,,,
1.792,56,34.17510263,,,
1.796,56,38.89171274,,,
1.8,56,32.13465959,,,
1.804,56,51.44893705,,,
1.808,56,79.12132795,,,
1.812,56,86.76979735,,,
1.816,56,63.02097276,,,
1.82,56,26.10363175,,,
1.824,57,12.65051189,,,
1.828,57,37.80549929,,,
1.832,57,62.41966861,,,
1.836,57,39.25437261,,,
1.84,57,18.67710102,,,
1.844,57,18.24106089,,,
1.848,57,-1.065079823,,,
1.852,57,2.209074373,,,
1.856,58,33.57697073,,,
1.86,58,39.10648284,,,
1.864,58,41.84412747,,,
1.868,58,68.79646061,,,
1.872,58,78.53763701,,,
1.876,58,67.94666816,,,
1.88,58,75.86354805,,,
1.884,58,80.9552237,,,
1.888,59,55.18802611,,,
1.892,59,6.119136847,,,
1.896,59,-17.15677087,,,
1.9,59,13.46864827,,,
1.904,59,41.29183049,,,
1.908,59,59.15641931,,,
1.912,59,77.08097353,,,
1.916,59,44.59375952,,,
1.92,60,10.42616226,,,
1.924,60,46.76780775,,,
1.928,60,83.79957722,,,
1.932,60,59.07646699,,,
1.936,60,5.477667507,,,
1.94,60,-15.82796075,,,
1.944,60,30.91227735,,,
1.948,60,82.4452171,,,
1.952,61,83.67088171,,,
1.956,61,43.63922359,,,
1.96,61,-10.55344157,,,
1.964,61,-10.59252331,,,
1.968,61,27.62190027,,,
1.972,61,31.5107979,,,
1.976,61,30.11395291,,,
1.98,61,35.73387947,,,
1.984,62,18.92056162,,,
1.988,62,22.14587433,,,
1.992,62,36.30237477,,,
1.996,62,15.22253118,,,
2,62,24.12618176,,,
2.004,62,63.62050069,,,
2.008,62,65.16653103,,,
2.012,62,61.20216774,,,
2.016,63,61.96674266,,,
2.02,63,42.77355833,,,
2.024,63,28.58556982,,,
2.028,63,38.70675092,,,
2.032,63,40.22556024,,,
2.036,63,44.32759459,,,
2.04,63,68.60280622,,,
2.044,63,59.49583722,,,
2.048,64,36.45128068,,,
2.052,64,53.68600845,,,
2.056,64,75.59097295,,,
2.06,64,71.59694542,,,
2.064,64,65.38346202,,,
2.068,64,41.84115341,,,
2.072,64,34.22289503,,,
2.076,64,60.45570677,,,
2.08,65,47.27262086,,,
2.084,65,39.21723364,,,
2.088,65,52.32915978,,,
2.092,65,25.24503589,,,
2.096,65,25.95416785,,,
2.1,65,58.18249833,,,
2.104,65,56.89563146,,,
2.108,65,46.12064491,,,
2.112,66,34.34505657,,,
2.116,66,26.49967008,,,
2.12,66,22.692482,,,
2.124,66,27.76846738,,,
2.128,66,39.41113367,,,
2.132,66,26.09938566,,,
2.136,66,-18.08383897,,,
2.14,66,-50.52941187,,,
2.144,67,-17.43549347,,,
2.148,67,-5.420378305,,,
2.152,67,-19.23494051,,,
2.156,67,50.27211745,,,
2.16,67,89.05146976,,,
2.164,67,50.51006715,,,
2.168,67,70.28308601,,,
2.172,67,100.6863081,,,
2.176,68,60.34802364,,,
2.18,68,38.85211923,,,
2.184,68,46.68414483,,,
2.188,68,30.48011898,,,
2.192,68,16.29424909,,,
2.196,68,25.24108514,,,
2.2,68,46.50006566,,,
2.204,68,64.76032083,,,
2.208,69,82.39668396,,,
2.212,69,104.2335661,,,
2.216,69,97.52104622,,,
2.22,69,54.13510579,,,
2.224,69,20.78430482,,,
2.228,69,48.77646511,,,
2.232,69,88.0396009,,,
2.236,69,79.14408261,,,
2.24,70,68.32366162,,,
2.244,70,49.93997419,,,
2.248,70,-1.646797509,,,
2.252,70,-3.063029833,,,
2.256,70,40.14223652,,,
2.26,70,39.37312113,,,
2.264,70,28.14965089,,,
2.268,70,15.59630071,,,
2.272,71,-7.595372433,,,
2.276,71,-8.329495457,,,
2.28,71,13.86091559,,,
2.284,71,47.25613059,,,
2.288,71,60.1523698,,,
2.292,71,54.8326334,,,
2.296,71,44.38951168,,,
2.3,71,23.60862434,,,
2.304,72,47.75857651,,,
2.308,72,85.86634097,,,
2.312,72,63.46407086,,,
2.316,72,58.89238468,,,
2.32,72,83.25464539,,,
2.324,72,56.39080066,,,
2.328,72,33.54899566,,,
2.332,72,45.60299061,,,
2.336,73,25.74607118,,,
2.34,73,9.675333645,,,
2.344,73,41.28512453,,,
2.348,73,51.81622539,,,
2.352,73,28.44926568,,,
2.356,73,-6.657355856,,,
2.36,73,-29.99009012,,,
2.364,73,10.81513337,,,
2.368,74,63.30938832,,,
2.372,74,65.92623453,,,
2.376,74,53.87069074,,,
2.38,74,46.54199705,,,
2.384,74,31.3235328,,,
2.388,74,19.22139879,,,
2.392,74,34.83037134,,,
2.396,74,41.6256258,,,
2.4,75,6.867989175,,,
2.404,75,6.960689703,,,
2.408,75,33.90283351,,,
2.412,75,13.90236511,,,
2.416,75,22.92988166,,,
2.42,75,66.05931136,,,
2.424,75,67.16944692,,,
2.428,75,65.99250687,,,
2.432,76,58.65160482,,,
2.436,76,39.30006961,,,
2.44,76,27.9200466,,,
2.444,76,15.44475488,,,
2.448,76,33.37395874,,,
2.452,76,49.99141881,,,
2.456,76,31.71510248,,,
2.46,76,32.67897618,,,
2.464,77,39.74898413,,,
2.468,77,20.41245439,,,
2.472,77,36.79027629,,,
2.476,77,85.02946554,,,
2.48,77,87.11492721,,,
2.484,77,64.208191,,,
2.488,77,64.19895768,,,
2.492,77,68.82109958,,,
2.496,78,47.4294308,,,
2.5,78,25.05934613,,,
2.504,78,14.06158247,,,
2.508,78,3.433743091,,,
2.512,78,17.33269141,,,
2.516,78,33.39349631,,,
2.52,78,35.17216018,,,
2.524,78,51.45658093,,,
2.528,79,65.08528987,,,
2.532,79,61.19440057,,,
2.536,79,50.87476095,,,
2.54,79,29.05392948,,,
2.544,79,1.696436988,,,
2.548,79,-29.19137531,,,
2.552,79,-6.103305369,,,
2.556,79,65.30520923,,,
2.56,80,99.80723539,,,
2.564,80,122.6974944,,,
2.568,80,113.2311454,,,
2.572,80,75.39039715,,,
2.576,80,67.50703713,,,
2.58,80,55.80626936,,,
2.584,80,34.77142589,,,
2.588,80,23.66290058,,,
2.592,81,28.08471814,,,
2.596,81,43.3418049,,,
2.6,81,68.97294886,,,
2.604,81,74.88645222,,,
2.608,81,34.07673574,,,
2.612,81,21.62386551,,,
2.616,81,38.16474373,,,
2.62,81,37.80393191,,,
2.624,82,34.68861809,,,
2.628,82,34.09450725,,,
2.632,82,39.55475409,,,
2.636,82,32.77006016,,,
2.64,82,20.15662914,,,
2.644,82,46.22573775,,,
2.648,82,72.74750146,,,
2.652,82,36.80198794,,,
2.656,83,26.07386313,,,
2.66,83,62.84640629,,,
2.664,83,44.26436007,,,
2.668,83,28.83212879,,,
2.672,83,42.43773097,,,
2.676,83,20.5547777,,,
2.68,83,19.0428175,,,
2.684,83,42.26700711,,,
2.688,84,28.07137698,,,
2.692,84,1.964604978,,,
2.696,84,0.610551557,,,
2.7,84,24.62073174,,,
2.704,84,59.11584125,,,
2.708,84,76.35720859,,,
2.712,84,64.76453693,,,
2.716,84,30.05063383,,,
2.72,85,1.291307727,,,
2.724,85,7.782641548,,,
2.728,85,22.79915611,,,
2.732,85,37.10576906,,,
2.736,85,67.56933878,,,
